车辆品牌,价格,上牌时间,里程,所在地,图片链接
宝马5系 530Li 2.0T 自动 xDrive-M运动套装 ,30.5, 2018年10月,3.2万公里 ,杭州,https://s1.iautos.cn/source/carupload/photo/2022/0502/11/2022050211061305397241414196.jpg-mediumpic
宝马5系 525Li 2.0T 自动 M运动套装改款 ,27.8, 2018年11月,6.2万公里 ,嘉兴,https://s2.iautos.cn/source/carupload/photo/2022/0422/09/2022042209065528091921046816.jpg-mediumpic
宝马5系 530Li 2.0T 自动 领先型豪华套装改款 ,30.8, 2019年09月,5.0万公里 ,嘉兴,https://s2.iautos.cn/source/carupload/photo/2022/0628/13/2022062813275013514637796923.jpg-mediumpic
宝马5系 530Li 2.0T 自动 领先型豪华套装 ,30.2, 2019年08月,6.5万公里 ,宁波,https://s1.iautos.cn/source/carupload/photo/2022/0422/08/2022042208410255056536399178.jpg-mediumpic
宝马5系 530Li 2.0T 自动 xDrive-M运动套装 ,30.8, 2018年07月,3.8万公里 ,湖州,https://s1.iautos.cn/source/carupload/photo/2022/0506/08/2022050608475005230947958434.jpg-mediumpic
宝马5系 525Li 2.0T 自动 豪华套装 ,27.6, 2018年09月,7.0万公里 ,菏泽,https://s3.iautos.cn/source/carupload/photo/2022/0714/09/2022071409021683451627949101.jpg-mediumpic
宝马5系 530Li 2.0T 自动 领先型豪华套装 ,32.8, 2020年11月,2.4万公里 ,杭州,https://s2.iautos.cn/source/carupload/photo/2022/0628/15/2022062815552693273609891249.jpg-mediumpic
宝马5系 530Li 2.0T 自动 领先型M运动套装 ,29.0, 2018年12月,3.8万公里 ,徐州,https://s2.iautos.cn/source/carupload/photo/2022/0507/09/2022050709114901514909253917.jpg-mediumpic
宝马5系 528Li 2.0T 自动 上市特别版 ,26.5, 2018年11月,4.0万公里 ,广州,https://s3.iautos.cn/source/carupload/photo/2022/0806/15/2022080615592671743423086322.jpg-mediumpic
宝马5系 520Li 2.0T 自动 典雅型 ,17.5, 2015年09月,7.8万公里 ,洛阳,https://s2.iautos.cn/source/carupload/photo/2022/0511/09/2022051109553682575318172310.jpg-mediumpic
宝马5系 530Li 3.0L 自动 领先型 ,17.0, 2014年11月,7.0万公里 ,绍兴,https://s2.iautos.cn/source/carupload/photo/2022/0514/20/2022051420084932411114422983.jpg-mediumpic
宝马5系 530Li 2.0T 自动 尊享型M运动套装 ,45.3, 2021年01月,1.6万公里 ,宁波,https://s2.iautos.cn/source/carupload/photo/2022/0824/13/2022082413470826845146689432.jpg-mediumpic
宝马5系 525Li 2.0T 自动 M运动套装 ,27.5, 2018年10月,5.0万公里 ,苏州,https://s3.iautos.cn/source/carupload/photo/2022/0511/09/2022051109501590024445509025.jpg-mediumpic
宝马5系 530Li 2.0T 自动 领先型豪华套装 ,38.8, 2020年07月,2.69万公里 ,杭州,https://s3.iautos.cn/source/carupload/photo/2022/0726/16/2022072616160079468307300931.jpg-mediumpic
宝马5系 528Li 2.0T 自动 上市特别版 ,27.5, 2018年10月,5.0万公里 ,绍兴,https://s1.iautos.cn/source/carupload/photo/2022/0714/08/2022071408593896673028745954.jpg-mediumpic
宝马5系 530Li 2.0T 自动 尊享型豪华套装 ,32.88, 2019年10月,6.0万公里 ,济南,https://s3.iautos.cn/source/carupload/photo/2022/0422/08/2022042208540464619905466660.jpg-mediumpic
宝马5系 530Li 3.0L 自动 领先型 ,17.0, 2014年05月,6.0万公里 ,青岛,https://s2.iautos.cn/source/carupload/photo/2022/0514/11/2022051411331741436902599430.jpg-mediumpic
宝马5系 530Li 2.0T 自动 xDrive豪华套装改款 ,28.9, 2018年10月,6.3万公里 ,温州,https://s2.iautos.cn/source/carupload/photo/2022/0714/08/2022071408501347829714604454.jpg-mediumpic
宝马5系 525Li 2.0T 自动 豪华套装 ,32.9, 2021年06月,1.6万公里 ,杭州,https://s1.iautos.cn/source/carupload/photo/2022/0628/15/2022062815200863722431815779.jpg-mediumpic
宝马5系 520Li 2.0T 自动 典雅型 ,17.35, 2015年09月,6.57万公里 ,永州,https://s2.iautos.cn/source/carupload/photo/2022/0506/13/2022050613342569181328867797.jpg-mediumpic
宝马5系 530Li 2.0T 自动 改款M运动套装 ,32.8, 2021年02月,1.3万公里 ,杭州,https://s2.iautos.cn/source/carupload/photo/2022/0628/15/2022062815353159576934259288.jpg-mediumpic
宝马5系 520Li 2.0T 自动 典雅型 ,16.8, 2015年09月,8.0万公里 ,南宁,https://s2.iautos.cn/source/carupload/photo/2022/0813/10/2022081310021136590240807022.jpg-mediumpic
宝马5系 525Li 2.0T 自动 M运动套装改款 ,27.5, 2018年06月,5.7万公里 ,绍兴,https://s3.iautos.cn/source/carupload/photo/2022/0714/08/2022071408581673239748156417.jpg-mediumpic
宝马5系 525Li 2.0T 自动 领先型 ,16.8, 2014年09月,6.9万公里 ,绍兴,https://s1.iautos.cn/source/carupload/photo/2022/0514/20/2022051420104184798605914006.jpg-mediumpic
宝马5系 528Li 2.0T 自动 上市特别版 ,27.8, 2018年09月,5.0万公里 ,湖州,https://s2.iautos.cn/source/carupload/photo/2022/0511/09/2022051109163820281518771932.jpg-mediumpic
