类别,类别名,页数,武器名,武器介绍,武器星级,攻击,会心,武器详情url,武器图片url
2,太刀,4,吸能太刀,圣7308研究所为女武神设计的太刀，可以根据女武神身上的崩坏能强度而改变攻击属性，提升女武神的战斗能力。,4,175,15,http://www.3rdguide.com/web/arm/detail?id=87,http://static.3rdguide.com/image/data/uploads/all/201802/79cb10c9381.png
2,太刀,4,结晶逆刃刀,在第二次崩坏战争发生过的战场上，开着雪白的结晶之花，圣7308研究所用这些花打造出的逆刃刀，拥有冻结敌人的神奇力量。,4,169,29,http://www.3rdguide.com/web/arm/detail?id=82,http://static.3rdguide.com/image/data/uploads/all/201802/cc78b4e5e61.png
2,太刀,4,苗刀·雷妖,圣7308研究所为女武神设计的佩刀，刀身的内部流动着崩坏能，挥动时候会释放崩坏能产生强力的冲击波，刀身形似禾苗，故曰苗刀。,4,169,29,http://www.3rdguide.com/web/arm/detail?id=78,http://static.3rdguide.com/image/data/uploads/all/201802/e6eef33ae22.png
2,太刀,4,合金·暴食节刀,ME社利用仿生技术，复刻了暴食节刀的一部分崩坏特性而批量生产的刀具，其崩坏能足以维持暴食节刀相近的破坏力。,4,166,14,http://www.3rdguide.com/web/arm/detail?id=89,http://static.3rdguide.com/image/data/uploads/all/201803/78e10c273ef.png
2,太刀,5,轩辕·脉冲太刀,为了帮助被蚩尤吞入肚中的芽衣，姬麟的英灵通过轩辕剑的碎片，将力量附在了脉冲太刀上，使之获得了寒冰的力量。,4,165,16,http://www.3rdguide.com/web/arm/detail?id=86,http://static.3rdguide.com/image/data/uploads/all/201802/6d96e02dffc.png
2,太刀,5,丹樱,在樱树下埋藏的古老盒子里发现的神秘刀具，挖出来的时候还散发着樱色的光，包含若有若无的崩坏能反应，至今没人知道它的故事。,4,163,19,http://www.3rdguide.com/web/arm/detail?id=84,http://static.3rdguide.com/image/data/uploads/all/201802/58d1ba0963b.png
2,太刀,5,苗刀·电魂,圣7308研究所为女武神设计的佩刀，刀身的表面吸附着大量崩坏能粒子，刀身的形状和性能无关，只是埋藏着设计者深深的思念…,4,163,38,http://www.3rdguide.com/web/arm/detail?id=77,http://static.3rdguide.com/image/data/uploads/all/201802/1fd9fa59814.png
2,太刀,5,凰剑,2017年限定武器。“凤凰”双子武器中的一把。能和芽衣的“凰剑”搭档的，只有琪亚娜的“凤枪”。,4,158,25,http://www.3rdguide.com/web/arm/detail?id=88,http://static.3rdguide.com/image/data/uploads/all/201802/7f13188c64a.png
2,太刀,5,合金·疾风太刀,ME社利用仿生技术，复刻了疾风太刀的一部分崩坏特性而批量生产的刀具，其崩坏能足以维持疾风太刀相近的破坏力。,4,157,26,http://www.3rdguide.com/web/arm/detail?id=90,http://static.3rdguide.com/image/data/uploads/all/201808/1cb56978b45.png
2,太刀,5,试做型脉冲太刀,以村正系列为蓝本制作，鲜为人知的崩坏武器原型之一，可以陪伴主人共同成长，已知的最高记录是进化到稀有度4星。,4,146,29,http://www.3rdguide.com/web/arm/detail?id=81,http://static.3rdguide.com/image/data/uploads/all/201802/e173aa14d3b.png
2,太刀,5,复合刀·柳叶,圣7308研究所结合古老的神州铸剑技术和最先进的崩坏技术，制作而成的刀具，柳叶的形状增加了刀具的斩削力。,3,128,2,http://www.3rdguide.com/web/arm/detail?id=76,http://static.3rdguide.com/image/data/uploads/all/201802/1c88bce53b8.png
2,太刀,5,妖刀村正,"德川家的人陆续死在村正之下，使得它被视为""不吉""，冠以""妖刀""之名，传说只有少女纯正的热情才能抑制它的诅咒。",3,128,2,http://www.3rdguide.com/web/arm/detail?id=74,http://static.3rdguide.com/image/data/uploads/all/201802/23cd51ae908.png
2,太刀,5,堀川国广,新撰组土方岁三的爱刀，著名刀工九州日向住国的第一杰作，土方甚是喜爱，一直带在身边，视如珍宝。,3,121,14,http://www.3rdguide.com/web/arm/detail?id=72,http://static.3rdguide.com/image/data/uploads/all/201802/fe7fad6cc45.png
2,太刀,5,复合刀·朱雀,由村正家族设计并锻造，刀身为全黑色不具名合金制造而成，在遇到血时会泛诡异的橘红色，其成分至今尚未明确。,3,114,25,http://www.3rdguide.com/web/arm/detail?id=75,http://static.3rdguide.com/image/data/uploads/all/201802/2dca26a0362.png
2,太刀,6,妖刀雨村,斩杀时刀锋会迸发露水，像是从刀锋会有水流出清洗血迹。可能是刀的悲鸣，在洗刷自己的过错。,3,94,59,http://www.3rdguide.com/web/arm/detail?id=73,http://static.3rdguide.com/image/data/uploads/all/201802/f983566ab6a.png
2,太刀,6,势州村正,古老的日本武士之刀，相传由伊势国村正家族所铸造，从初代起就集聚盛名，是日本武士刀的代表。,2,76,8,http://www.3rdguide.com/web/arm/detail?id=71,http://static.3rdguide.com/image/data/uploads/all/201802/173960d5efb.png
3,重炮,1,往世的绝塔·丝之梯,螺旋·愚戏之匣的推荐武器,6,441,18,http://www.3rdguide.com/web/arm/detail?id=308,http://static.3rdguide.com/image/data/uploads/all/202207/b53b4cbda1b.png
3,重炮,1,蓝焰银隼·最终企划,“你看，我都不怎么使用它。”,6,434,25,http://www.3rdguide.com/web/arm/detail?id=290,http://static.3rdguide.com/image/data/uploads/all/202112/30f89d0b2ec.png
3,重炮,1,真理之境：启示,理之律者的专属超限重炮，俗称“车钥匙”。主动0SP消耗，并可回复“律者能量”，战场中的提升十分明显，大幅加强了第一波的爆发能力。除了全伤、冰伤、额外倍率的提升，真理之境还强化了角色的SP回复能力。每次常规蓄力（开炮）都能额外回复3点SP，整体的循环速度比以往更快。不过该主动伤害是有延迟的，面对灵活的敌人（空律、狐狸）时，是可能打空的。,6,409,27,http://www.3rdguide.com/web/arm/detail?id=253,http://static.3rdguide.com/image/data/uploads/all/202009/82459d4ceee.png
3,重炮,1,歼星者19C-X,虚假的异度黑核侵蚀（黑鸭）的毕业武器，表现完全不如超限百手。虽然高额的暴击率保证了伤害的稳定性，但无法从本质上提升黑鸭的输出能力（上限没高多少）,6,398,59,http://www.3rdguide.com/web/arm/detail?id=231,http://static.3rdguide.com/image/data/uploads/all/201911/a319ccc15e7.png
3,重炮,1,百手巨人终型,黑鸭的全新毕业武器，在各种加成下，成功实现量变到质变，进而在实战中打出各种战场高分。同时也是山吹的好伙伴，补足脆弱的同时，还实现了延迟角色离场 → 延迟触发BUFF加成,6,394,39,http://www.3rdguide.com/web/arm/detail?id=239,http://static.3rdguide.com/image/data/uploads/all/202004/d820ee54112.png
3,重炮,1,百手巨人初型,旧称“冰冻巨人”，目前来说已很少作为输出武器使用，主要用于时空控制并施加脆弱效果。,5,298,6,http://www.3rdguide.com/web/arm/detail?id=23,http://static.3rdguide.com/image/data/uploads/all/201802/510f864e466.png
3,重炮,1,往世的绝塔,仍是一位少女的时候，她亲手制作了这一武装。,5,294,18,http://www.3rdguide.com/web/arm/detail?id=307,http://static.3rdguide.com/image/data/uploads/all/202207/aaa8be2d3d3.png
3,重炮,1,真理之钥,理之律者的专属毕业武器，主动强力，加伤综合。由于其它火炮对于理律来说，几乎没有加伤能力，因此真理十分重要，伤害差距很明显。,5,294,19,http://www.3rdguide.com/web/arm/detail?id=219,http://static.3rdguide.com/image/data/uploads/all/201907/1c02e5287d7.png
3,重炮,1,蚩尤巨炮,在古老的深渊中，仅存在群聚敌人，雪地凭借其大招的群体冻结效果，可享受到武器被动的高额攻速加成。但现在是仓库（图鉴）中的纪念品。,5,294,11,http://www.3rdguide.com/web/arm/detail?id=28,http://static.3rdguide.com/image/data/uploads/all/201802/4cbdd92753a.png
3,重炮,1,尤弥尔之腕,玩家一般称呼其吹风机，因为主动动画确实如此。随着雪地不再强力，该武器也基本失去了实战价值。,5,294,11,http://www.3rdguide.com/web/arm/detail?id=26,http://static.3rdguide.com/image/data/uploads/all/201802/cd4f562aedc.png
3,重炮,2,蓝焰银隼0019,艺术品，长光说的,5,292,17,http://www.3rdguide.com/web/arm/detail?id=289,http://static.3rdguide.com/image/data/uploads/all/202112/7d038629b3d.png
3,重炮,2,碎骨兔19c,骇兔专属武器，其它角色基本不使用。武器可提供高额的连击数，以及范围冰冻效果，搭配骇兔QTE → 必杀技，连击、爆发、控场、BUFF加成一应俱全。,5,292,17,http://www.3rdguide.com/web/arm/detail?id=266,http://static.3rdguide.com/image/data/uploads/all/202103/6faf57edb7d.png
3,重炮,2,黑星,华丽的特效下，确实是玩具性质的功能性武器。黑星类似于碎星者，都可以延迟BUFF，CD长且消耗SP。在大环境下整体表现不如百手巨人终型，有骚套路的可能，但限制较多。,5,287,19,http://www.3rdguide.com/web/arm/detail?id=258,http://static.3rdguide.com/image/data/uploads/all/202012/da2a4e7a313.png
3,重炮,2,重装小兔19C,仅对普通敌人（非BOSS、精英）有一定杀伤力，虽然叫“重装小兔19C”，但并非布洛妮娅的重装小兔，怪不得有点菜。,5,287,19,http://www.3rdguide.com/web/arm/detail?id=24,http://static.3rdguide.com/image/data/uploads/all/201802/1f13f2ffff4.png
3,重炮,2,地狱火Ⅲ型,米高扬中央设计制造局制造的崩坏能重兵器，在制式的苏联火焰喷射器，嵌入了崩坏能结晶碎片，大幅强化了原本武器的性能。,5,285,22,http://www.3rdguide.com/web/arm/detail?id=116,http://static.3rdguide.com/image/data/uploads/all/201803/103288578c3.png
3,重炮,2,歼星者19C,假的异度黑核侵蚀专属，由于黑鸭的蓄力伤害与导弹数量密切相关，因此非“多重制导导弹”的歼星者输出并不高。不需要整，有也不用超限。想玩儿黑鸭的话锻造超限百手即可。,5,283,31,http://www.3rdguide.com/web/arm/detail?id=32,http://static.3rdguide.com/image/data/uploads/all/201802/df05aac2e89.png
3,重炮,2,提尔的断腕,在次元、雪地C位出道时风靡一时，目前已基本失去使用价值（和顶级物理主C差距太大）。次元又开启的挖矿时代，雪地在辅助的路上一去不复返。,5,282,26,http://www.3rdguide.com/web/arm/detail?id=31,http://static.3rdguide.com/image/data/uploads/all/201802/0d46681b450.png
3,重炮,2,核心技能炮Delta,加伤一般，且麻痹效果不稳定，就输出向来说远不如火神机枪实在。,5,282,26,http://www.3rdguide.com/web/arm/detail?id=25,http://static.3rdguide.com/image/data/uploads/all/201802/abacb09c963.png
3,重炮,2,M134火神机枪,活动限定速射武器，基本一年UP一次，可显著增强持续的激光输出，但整体强度不高，意义不大。,5,281,35,http://www.3rdguide.com/web/arm/detail?id=162,http://static.3rdguide.com/image/data/uploads/all/201808/35d81d2ab7a.png
3,重炮,2,量子毁灭者Ⅱ型,活在记忆里的“强力激光”，目前主要利用其主动的聚怪效果，常用于记忆战场沉灵关卡。,5,280,27,http://www.3rdguide.com/web/arm/detail?id=29,http://static.3rdguide.com/image/data/uploads/all/201802/286c195bcea.png
3,重炮,3,坍陨之瞳,坍缩炮,5,275,29,http://www.3rdguide.com/web/arm/detail?id=282,http://static.3rdguide.com/image/data/uploads/all/202109/ad603eea553.png
3,重炮,3,碎星者·维克兰特,"彗星驱动可轻松提供长时间的虚弱效果，从而轻松触发武器被动的全队全伤加成。主动也常用于延迟牛顿（下）、叶采章套装，这使得增幅山吹也可作为元素辅助使用。除了增幅山吹，银狼使用时也有着不错的效果。
",5,275,27,http://www.3rdguide.com/web/arm/detail?id=214,http://static.3rdguide.com/image/data/uploads/all/201903/5f377799bb4.png
3,重炮,3,火刀·真田,黑鸭前期的毕业武器（无法超限百手时）。“多重制导导弹”最高15发提供了输出基础，主动极高的攻速加成，使得角色在脱离隐身后依旧能连续输出，补尾刀、压血线都非常好用。,5,275,34,http://www.3rdguide.com/web/arm/detail?id=30,http://static.3rdguide.com/image/data/uploads/all/201802/b5d460225c2.png
3,重炮,3,苍玄之书,活动限定火炮，基本一年UP一次，主动可切换3种武器形态，并以此触发3种不同的异常状态，可作为QTE触发器。,5,272,38,http://www.3rdguide.com/web/arm/detail?id=180,http://static.3rdguide.com/image/data/uploads/all/201808/e0abc956a1b.png
3,重炮,3,伊甸之星,一个暂无神之键BUFF的火炮武器,5,268,36,http://www.3rdguide.com/web/arm/detail?id=193,http://static.3rdguide.com/image/data/uploads/all/201809/5cc7e4a4363.png
3,重炮,3,5th圣遗物,号称“硬件杀手”，虽然要发挥“子母弹”的AOE效果，必须依赖群聚敌人，但目前十分不推荐对群聚敌人使用。随着雪地不再强力，该武器也基本失去了实战价值。,5,254,59,http://www.3rdguide.com/web/arm/detail?id=22,http://static.3rdguide.com/image/data/uploads/all/201802/ad277f61f18.png
3,重炮,3,独眼巨人初型,米高扬中央设计制造局设计的崩坏能重炮，其威力足以媲美天命和逆熵的最新型武器，向世界宣告“世界蛇”这个组织的存在！,5,248,43,http://www.3rdguide.com/web/arm/detail?id=115,http://static.3rdguide.com/image/data/uploads/all/201802/6b892a46742.png
3,重炮,3,吞噬火炮,天命组织将崩坏兽迦尼萨被吞噬后产生的最高机密样本附加于远程输出重装武器之上，该武器承载获得一定的生物特性加持。,5,239,22,http://www.3rdguide.com/web/arm/detail?id=118,http://static.3rdguide.com/image/data/uploads/all/201803/0ff5cce9b1e.png
3,重炮,3,游骑兵激光,曾活跃于西伯利亚的女武神晨昏小队的装备，属于队员查莉娅。负责支援的她一定在后悔，在和帝王级崩坏兽“苏摩”的战斗中，没能掩护好大家。,5,238,16,http://www.3rdguide.com/web/arm/detail?id=186,http://static.3rdguide.com/image/data/uploads/all/201903/eee9a4014b3.png
3,重炮,3,潜伏者加农,米高扬中央设计制造局设计的重装武器，其数据来源于实验体X-10的实验记录，“世界蛇”究竟是如何获得这些数据的…,5,234,28,http://www.3rdguide.com/web/arm/detail?id=117,http://static.3rdguide.com/image/data/uploads/all/201802/51868dac5d4.png
3,重炮,4,蓝色梦泡泡,布洛妮娅为实现与希儿的绀海之约，精心准备的大型气动喷射水枪。弹仓中灌满了来自鄂霍茨克海凉爽湛蓝的海水，每一发都能把沙滩上的敌人“消灭殆尽”。,5,232,10,http://www.3rdguide.com/web/arm/detail?id=218,http://static.3rdguide.com/image/data/uploads/all/201909/851354e024f.png
3,重炮,4,律动新星,崩坏世界的歌姬钟情的打碟机，复数的黑胶唱片在优秀的DJ手下能混奏出有如流星般动感的音乐。当然，没有什么能难倒布洛妮娅和她的助理重装小兔——就连把打碟机改造成粒子炮这样的小事也是。,5,232,10,http://www.3rdguide.com/web/arm/detail?id=201,http://static.3rdguide.com/image/data/uploads/all/201901/834f46f7b69.png
3,重炮,4,粽叶手弩,在神州文化中，粽籺最早是用来祭祀先祖和神灵的贡品，所以用它们来射击已经死去的死士难免有种微妙的感觉——但不管怎么说，这很有效果。,5,231,10,http://www.3rdguide.com/web/arm/detail?id=190,http://static.3rdguide.com/image/data/uploads/all/201809/34bfa95f357.png
3,重炮,4,阴极子炮07式,ME社现社长可可利亚开发的光束炮，可以分离出崩坏能粒子中的阴极子，将阴极子通过集中装置，形成光束射出后，可以冷冻目标。,4,188,3,http://www.3rdguide.com/web/arm/detail?id=104,http://static.3rdguide.com/image/data/uploads/all/201803/53acda068ed.png
3,重炮,4,阴极子炮09式,ME社现社长可可利亚开发的光束炮，可以分离出崩坏能粒子中的阴极子，将阴极子通过震动装置，形成光束射出后，可以麻痹目标的行动。,4,182,12,http://www.3rdguide.com/web/arm/detail?id=105,http://static.3rdguide.com/image/data/uploads/all/201802/710a31cc002.png
3,重炮,4,X-01青眼巨蟒,米高扬中央设计制造局设计的强力重炮，以传说中吞噬世界的巨蟒为名，代表着“世界蛇”征服一切的野心。,4,178,17,http://www.3rdguide.com/web/arm/detail?id=108,http://static.3rdguide.com/image/data/uploads/all/201802/2297b9abcfe.png
3,重炮,4,寒霜之雨,米高扬中央设计制造局制造的崩坏能重兵器，在制式的苏联冰霜喷射器，嵌入了崩坏能结晶碎片，大幅强化了原本武器的性能。,4,176,20,http://www.3rdguide.com/web/arm/detail?id=111,http://static.3rdguide.com/image/data/uploads/all/201802/5d695df7097.png
3,重炮,4,爱酱炮,2017年愚人节限定武器。跟我一起念：爱酱！强！无敌！,4,174,3,http://www.3rdguide.com/web/arm/detail?id=112,http://static.3rdguide.com/image/data/uploads/all/201802/41da0e7335f.png
3,重炮,4,突袭者分裂导弹,米高扬中央设计局设计的分裂导弹，炮弹中拥有崩坏吸附链，能够自动瞄准并锁定目标予以重创，在炮弹上，印着小小的蛇形图案。,4,169,29,http://www.3rdguide.com/web/arm/detail?id=107,http://static.3rdguide.com/image/data/uploads/all/201803/acb8aa23739.png
3,重炮,4,马尔科夫C型,米高扬中央设计制造局制造的崩坏能重兵器，在制式的苏联武器内部，嵌入了崩坏能结晶碎片，在炮管的内部，印着小小的蛇形标志。,4,169,29,http://www.3rdguide.com/web/arm/detail?id=103,http://static.3rdguide.com/image/data/uploads/all/201802/e01bc1763a9.png
3,重炮,5,合金·吞噬火炮,米高扬中央设计制造局仿作的吞噬火炮流通版，用于抵抗非终极规模的崩坏事件，其崩坏能足以匹敌吞噬火炮。,4,166,14,http://www.3rdguide.com/web/arm/detail?id=114,http://static.3rdguide.com/image/data/uploads/all/201803/fe1567b20ba.png
3,重炮,5,冰吼,这货没有冰冻元素伤害,4,166,34,http://www.3rdguide.com/web/arm/detail?id=109,http://static.3rdguide.com/image/data/uploads/all/201803/a083c7b5ea2.png
3,重炮,5,轩辕·脉冲火炮,为了帮助被蚩尤吞入肚中的布洛妮娅，姬麟的英灵通过轩辕剑的碎片，将力量附在了脉冲火炮上，使之获得了烈焰的力量。,4,165,16,http://www.3rdguide.com/web/arm/detail?id=110,http://static.3rdguide.com/image/data/uploads/all/201802/97a361d1772.png
3,重炮,5,合金·潜伏者加农,米高扬中央设计制造局仿作的潜伏者加农流通版，用于抵抗非终极规模的崩坏事件，其崩坏能足以匹敌潜伏者加农。,4,163,17,http://www.3rdguide.com/web/arm/detail?id=113,http://static.3rdguide.com/image/data/uploads/all/201802/1d0271b1796.png
3,重炮,5,马尔科夫A型,米高扬中央设计制造局制造的崩坏能重兵器，在制式的苏联武器内部，嵌入了崩坏能结晶碎片，其技术路线，既不属于天命也不属于逆熵。,4,163,38,http://www.3rdguide.com/web/arm/detail?id=102,http://static.3rdguide.com/image/data/uploads/all/201802/c07de67c0a1.png
3,重炮,5,试做型脉冲火炮,以SU系列为蓝本制作，鲜为人知的崩坏武器原型之一，可以陪伴主人共同成长，已知的最高记录是进化到稀有度4星。,4,146,29,http://www.3rdguide.com/web/arm/detail?id=106,http://static.3rdguide.com/image/data/uploads/all/201803/c6b3b171f3e.png
3,重炮,5,MiG-7激光炮,利用超导技术制造出的超导储能电流，产生高强度激光，从而定向发射激光束，直接毁伤目标或使之失效的武器。,3,128,2,http://www.3rdguide.com/web/arm/detail?id=101,http://static.3rdguide.com/image/data/uploads/all/201803/f53f9310194.png
3,重炮,5,MiG-13火箭炮,一种发射火箭弹的多发联装发射装置，最早由苏联在1933年研制成功并装备于苏联红军，1941年首次实战应用。,3,128,2,http://www.3rdguide.com/web/arm/detail?id=99,http://static.3rdguide.com/image/data/uploads/all/201808/d5f10072e2b.png
3,重炮,5,SU-30加农炮,可直瞄射击，炮弹膛口速度高的弹道低伸火炮，属地面炮兵的主要炮种之一。属于小口径型(75mm以下)。,3,121,14,http://www.3rdguide.com/web/arm/detail?id=97,http://static.3rdguide.com/image/data/uploads/all/201803/3b55ace9863.png
3,重炮,5,狂怒者重炮,苏联制作的重型火炮，适合于打击隐蔽目标和地面目标的野战武器，可以配用燃烧弹、榴弹、宣传弹等多种弹药，炮口径105mm。,3,114,25,http://www.3rdguide.com/web/arm/detail?id=189,http://static.3rdguide.com/image/data/uploads/all/201808/080988acb0e.png
3,重炮,6,MiG-11诱导弹,50年代中期起开始研制，发射重量523公斤，飞行马赫数0.85，实用高度16000米，最大射程620公里。,3,94,59,http://www.3rdguide.com/web/arm/detail?id=98,http://static.3rdguide.com/image/data/uploads/all/201808/15d9c1e12e2.png
3,重炮,6,SU-22榴弹炮,适合于打击隐蔽目标和地面目标的野战武器，可以配用燃烧弹、榴弹、宣传弹等多种弹药，炮口径105mm。,2,76,8,http://www.3rdguide.com/web/arm/detail?id=96,http://static.3rdguide.com/image/data/uploads/all/201803/52b53b8d504.png
4,大剑,1,劫灭无烬,进一步强化了S阶真红的综合作战能力，现在S阶真红+超限劫灭，和原本SS阶真红+老劫灭的输出差不多，适用范围更广了。特别的，对于真红来说，超限劫灭的二段主动副作用严重，基本不会使用。但对于部分大剑角色而言，却可以很好地弥补伤害：如战场BOSS月魂，莉莉娅、深红等角色，便可劫灭一段+二段，直接秒杀月魂。,6,420,20,http://www.3rdguide.com/web/arm/detail?id=251,http://static.3rdguide.com/image/data/uploads/all/202008/83e881ff393.png
4,大剑,1,睡美人之梦,狂热蓝调的专属超限大剑。使用武器主动后会对自己造成伤害，狂热蓝调此时可释放必杀技弹反该伤害，从而轻松打出完美弹反，主动性大幅提升（不一定要怪攻击）。除此之外，还能强化角色进入“狂热状态”时的物理伤害，并回复SP，综合性强。,6,404,55,http://www.3rdguide.com/web/arm/detail?id=252,http://static.3rdguide.com/image/data/uploads/all/202009/2e50eecaa91.png
4,大剑,1,涅炎剑·史尔特尔,为玫瑰量身定做的超限武器，可全程维持点燃状态（只要敌人不是免疫点燃）。并且还能快速压低血线，触发玫瑰的被动增伤，启动速度显著加快。最后，其主动附带的护盾不但能够减少大量伤害，存在期间玫瑰的大招还不会消耗生命，生存能力显著提升。,6,393,43,http://www.3rdguide.com/web/arm/detail?id=250,http://static.3rdguide.com/image/data/uploads/all/202008/b6b6dc02ff7.png
4,大剑,1,劫灭,女武神劫灭，真红的翻身必备武器。初始SP，超高倍率的主动，全伤加成，各个属性都完美补足了真红的不足。玫瑰也可使用，可惜大部分环境下不如神陨剑（因为玫瑰没有衔接优化，并且开大时无法使用）,5,298,13,http://www.3rdguide.com/web/arm/detail?id=229,http://static.3rdguide.com/image/data/uploads/all/201910/0f9902d7e47.png
4,大剑,1,牛鬼切·长光,疾风的好玩具，特效十足。有拿来打破盾的潜力，但目前缺少使用环境。,5,289,17,http://www.3rdguide.com/web/arm/detail?id=39,http://static.3rdguide.com/image/data/uploads/all/201801/9346cb4536e.png
4,大剑,1,极光斩舰刀,不知道从哪里整来的复古武器，系兄弟就来kan我，主动可提供雷电易伤，但数值偏低，且远不如血舞好用。,5,289,17,http://www.3rdguide.com/web/arm/detail?id=37,http://static.3rdguide.com/image/data/uploads/all/201801/a9e05d4f2cf.png
4,大剑,1,鲜血之舞,女武神·鲜血之舞，凭借其极高的元素易伤效果活跃至今，易伤效果强力且持续时间长，以至于各类大剑角色都逃脱不了血舞发射器的命运。缺点是敌人会因此狂暴（变皮），操作难度会有所上升。,5,289,17,http://www.3rdguide.com/web/arm/detail?id=35,http://static.3rdguide.com/image/data/uploads/all/201801/dab6a7a001d.png
4,大剑,1,巴鲁蒙格,附伤类武器，目前的主要使用者为樱桃炸弹，对比睡美人差距还是比较明显的，因此不建议升级。,5,285,32,http://www.3rdguide.com/web/arm/detail?id=40,http://static.3rdguide.com/image/data/uploads/all/201801/659a40a41f8.png
4,大剑,1,神火试炼,同神陨剑，为双被动设计，最为适合：玫瑰。但由于缺乏无限制加伤，对于真红来说是不如神陨剑的。,5,283,24,http://www.3rdguide.com/web/arm/detail?id=238,http://static.3rdguide.com/image/data/uploads/all/202003/f4ff5fbaf3d.png
4,大剑,1,睡美人,樱桃炸弹完美的毕业武器，主动加伤并提供非常重要的暴击率加成，伤害更加稳定；被动的高额附加伤害可显著提升角色的总输出。蓝莓特攻在打蓄力爆发时，也可使用该武器。,5,283,24,http://www.3rdguide.com/web/arm/detail?id=216,http://static.3rdguide.com/image/data/uploads/all/201904/93b6ce64a59.png
4,大剑,2,日炎大剑,玫瑰、真红的过渡武器，加成一般，不推荐升级，35级将就过渡即可。,5,280,27,http://www.3rdguide.com/web/arm/detail?id=36,http://static.3rdguide.com/image/data/uploads/all/201801/0f8108a8730.png
4,大剑,2,赫朗格尼尔,极地战刃标准的毕业武器，但该角色基本为冰系辅助（SS阶），是优秀的血舞发射器。武器被动提供无限制的25%全伤，但是和其它专属毕业武器相差甚远，仅建议35级将就着使用，用于过渡。,5,278,27,http://www.3rdguide.com/web/arm/detail?id=178,http://static.3rdguide.com/image/data/uploads/all/201808/e0ee03fca37.png
4,大剑,2,轩辕剑,活动限定大剑，基本一年UP一次，主动华而不实，用处不大，被动加伤限定蓄力，大剑角色并非都依靠蓄力输出，因此适用范围较小。主要价值在于全角色攻击力+10,5,276,32,http://www.3rdguide.com/web/arm/detail?id=179,http://static.3rdguide.com/image/data/uploads/all/201808/d8db7e5c6e4.png
4,大剑,2,神陨剑·史尔特尔,玫瑰标准的毕业武器，双被动的设计十分契合玫瑰开大爆发的输出模式（轻松触发被动加伤，并且节省SP）。真红在没有劫灭时，可用于过渡。,5,275,27,http://www.3rdguide.com/web/arm/detail?id=198,http://static.3rdguide.com/image/data/uploads/all/201811/e49bf11bee8.png
4,大剑,2,天鹅湖,蓝莓特攻标准的毕业武器，主动可用于辅助姐姐（樱桃炸弹），提供脆弱；被动可用于自身输出，打连续的大招弹反。其它角色基本不会使用。,5,274,31,http://www.3rdguide.com/web/arm/detail?id=215,http://static.3rdguide.com/image/data/uploads/all/201904/8174f669c8f.png
4,大剑,2,尼德霍格翼爪,全村最优秀的玩具，“电锯”的称号名不虚传。,5,272,38,http://www.3rdguide.com/web/arm/detail?id=33,http://static.3rdguide.com/image/data/uploads/all/201802/1df197e551f.png
4,大剑,2,魔龙之脊,逆熵用在上古崩坏兽蚩尤体内采集到的骨髓制作的大剑，被称为魔龙的蚩尤，其庞大的身躯，如今还沉睡在海底的深处。,5,271,16,http://www.3rdguide.com/web/arm/detail?id=137,http://static.3rdguide.com/image/data/uploads/all/201802/7ef542503c7.png
4,大剑,2,天火大剑,无优秀大剑使用时，常用来作为通用地图装使用。,5,270,33,http://www.3rdguide.com/web/arm/detail?id=211,http://static.3rdguide.com/image/data/uploads/all/201903/11874670090.png
4,大剑,2,黎明审判,原先是输出类大剑，而现在仅能作为脆弱触发器（而且还不稳定），使用的环境非常少。,5,268,42,http://www.3rdguide.com/web/arm/detail?id=138,http://static.3rdguide.com/image/data/uploads/all/201802/21bad79536e.png
4,大剑,2,7th圣遗物,一个被遗忘的圣遗物大剑，主动鸡肋，被动难以触发且无强力适配角色。基本无实战价值，抽到就当开图鉴了。,5,263,48,http://www.3rdguide.com/web/arm/detail?id=34,http://static.3rdguide.com/image/data/uploads/all/201801/48a03692665.png
4,大剑,3,黑轩辕剑,战场极限竞速时使用，可提供稳定的全局时空，以获得时空分的提升。,5,250,25,http://www.3rdguide.com/web/arm/detail?id=139,http://static.3rdguide.com/image/data/uploads/all/201803/e18bb112850.png
4,大剑,3,背叛者巨剑,米高扬中央设计制造局设计的大剑，其数据来源于实验体X-10的实验记录，“世界蛇”究竟是如何获得这些数据的…,5,245,15,http://www.3rdguide.com/web/arm/detail?id=141,http://static.3rdguide.com/image/data/uploads/all/201802/18c8957fe63.png
4,大剑,3,游骑兵锯齿,曾活跃于西伯利亚的女武神晨昏小队的装备，属于小队的队长薇切恩。她一直身先士卒，这把大剑撕碎了无数的崩坏兽外壳。,5,243,12,http://www.3rdguide.com/web/arm/detail?id=188,http://static.3rdguide.com/image/data/uploads/all/201903/6dbf9bf3912.png
4,大剑,3,天父大剑,天命组织用天父掉落的火属性崩坏能的未知矿石打造的武器，崩坏能缠绕在大剑的剑身上，产生强烈的热能。,5,234,28,http://www.3rdguide.com/web/arm/detail?id=140,http://static.3rdguide.com/image/data/uploads/all/201802/e16f0da67c6.png
4,大剑,3,超重剑·王蛇,曾经的女武神冲锋队中，队长拉格纳专用的巨剑。拉格纳曾是姬子的老师，但在6年前的某一次崩坏中，她和其他队员都被某个人杀死了…,4,185,7,http://www.3rdguide.com/web/arm/detail?id=128,http://static.3rdguide.com/image/data/uploads/all/201802/d6cf219cac3.png
